"","user","weekday","hour","domain","average"
"427","jakub",3,6,"github.com",0
"428","jakub",3,6,"pw.edu.pl",0
"429","jakub",3,6,"youtube.com",0
"430","jakub",3,6,"google.com",0
"431","jakub",3,6,"facebook.com",0
"432","jakub",3,6,"instagram.com",0
"433","jakub",3,7,"stackoverflow.com",0
"434","jakub",3,7,"wikipedia.org",0
"435","jakub",3,7,"github.com",0
"436","jakub",3,7,"pw.edu.pl",0
"437","jakub",3,7,"youtube.com",0
"438","jakub",3,7,"google.com",0.0481927710843374
"439","jakub",3,7,"facebook.com",0.0150602409638554
"440","jakub",3,7,"instagram.com",0
"441","jakub",3,8,"stackoverflow.com",0
"442","jakub",3,8,"wikipedia.org",0
"443","jakub",3,8,"github.com",0
"444","jakub",3,8,"pw.edu.pl",0.0572289156626506
"445","jakub",3,8,"youtube.com",0.11144578313253
"446","jakub",3,8,"google.com",0.105421686746988
"447","jakub",3,8,"facebook.com",0.0210843373493976
"448","jakub",3,8,"instagram.com",0
"449","jakub",3,9,"stackoverflow.com",0
"450","jakub",3,9,"wikipedia.org",0.00602409638554217
"451","jakub",3,9,"github.com",0
"452","jakub",3,9,"pw.edu.pl",0.132530120481928
"453","jakub",3,9,"youtube.com",0.117469879518072
"454","jakub",3,9,"google.com",0.213855421686747
"455","jakub",3,9,"facebook.com",0.00602409638554217
"456","jakub",3,9,"instagram.com",0
"457","jakub",3,10,"stackoverflow.com",0
"458","jakub",3,10,"wikipedia.org",0.0120481927710843
"459","jakub",3,10,"github.com",0
"460","jakub",3,10,"pw.edu.pl",0.180722891566265
"461","jakub",3,10,"youtube.com",0.0753012048192771
"462","jakub",3,10,"google.com",0.295180722891566
"463","jakub",3,10,"facebook.com",0.0180722891566265
"464","jakub",3,10,"instagram.com",0
"465","jakub",3,11,"stackoverflow.com",0
"466","jakub",3,11,"wikipedia.org",0.00301204819277108
"467","jakub",3,11,"github.com",0.0150602409638554
"468","jakub",3,11,"pw.edu.pl",0.0512048192771084
"469","jakub",3,11,"youtube.com",0.0512048192771084
"470","jakub",3,11,"google.com",0.307228915662651
"471","jakub",3,11,"facebook.com",0.0391566265060241
"472","jakub",3,11,"instagram.com",0
"473","jakub",3,12,"stackoverflow.com",0
"474","jakub",3,12,"wikipedia.org",0.00301204819277108
"475","jakub",3,12,"github.com",0
"476","jakub",3,12,"pw.edu.pl",0
"477","jakub",3,12,"youtube.com",0.0481927710843374
"478","jakub",3,12,"google.com",0.256024096385542
"479","jakub",3,12,"facebook.com",0
"480","jakub",3,12,"instagram.com",0
"481","jakub",3,13,"stackoverflow.com",0.00602409638554217
"482","jakub",3,13,"wikipedia.org",0
"483","jakub",3,13,"github.com",0
"484","jakub",3,13,"pw.edu.pl",0.0451807228915663
"485","jakub",3,13,"youtube.com",0.0783132530120482
"486","jakub",3,13,"google.com",0.19578313253012
"487","jakub",3,13,"facebook.com",0.0512048192771084
"488","jakub",3,13,"instagram.com",0
"489","jakub",3,14,"stackoverflow.com",0.00301204819277108
"490","jakub",3,14,"wikipedia.org",0
"491","jakub",3,14,"github.com",0
"492","jakub",3,14,"pw.edu.pl",0
"493","jakub",3,14,"youtube.com",0.120481927710843
"494","jakub",3,14,"google.com",0.442771084337349
"495","jakub",3,14,"facebook.com",0
"496","jakub",3,14,"instagram.com",0
"497","jakub",3,15,"stackoverflow.com",0
"498","jakub",3,15,"wikipedia.org",0.00301204819277108
"499","jakub",3,15,"github.com",0
"500","jakub",3,15,"pw.edu.pl",0
"501","jakub",3,15,"youtube.com",0.105421686746988
"502","jakub",3,15,"google.com",0.367469879518072
"503","jakub",3,15,"facebook.com",0.0120481927710843
"504","jakub",3,15,"instagram.com",0
"505","jakub",3,16,"stackoverflow.com",0
"506","jakub",3,16,"wikipedia.org",0.00602409638554217
"507","jakub",3,16,"github.com",0
"508","jakub",3,16,"pw.edu.pl",0.0180722891566265
"509","jakub",3,16,"youtube.com",0.0963855421686747
"510","jakub",3,16,"google.com",0.265060240963855
"511","jakub",3,16,"facebook.com",0.0451807228915663
"512","jakub",3,16,"instagram.com",0
"513","jakub",3,17,"stackoverflow.com",0
"514","jakub",3,17,"wikipedia.org",0.0180722891566265
"515","jakub",3,17,"github.com",0
"516","jakub",3,17,"pw.edu.pl",0.0210843373493976
"517","jakub",3,17,"youtube.com",0.153614457831325
"518","jakub",3,17,"google.com",0.602409638554217
"519","jakub",3,17,"facebook.com",0.171686746987952
"520","jakub",3,17,"instagram.com",0
"521","jakub",3,18,"stackoverflow.com",0
"522","jakub",3,18,"wikipedia.org",0.0150602409638554
"523","jakub",3,18,"github.com",0
"524","jakub",3,18,"pw.edu.pl",0
"525","jakub",3,18,"youtube.com",0.0813253012048193
"526","jakub",3,18,"google.com",0.331325301204819
